"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln AGP (g/L)","Ln AGP Age 14 months (g/L)","434","-1.14","-0.55","-0.1","-0.12","-0.02 (-0.06, 0.03)","0.49","1","-0.04","-0.03","0.01 (-0.07, 0.09)","0.81","1"
"4","","Ln CRP Age 14 months (mg/L)","374","-1.11","-0.53","0.2","0.2","0 (0, 0)","1","1","-0.16","-0.22","-0.06 (-0.24, 0.12)","0.51","1"
"5","","Ln IFN-y Age 14 months (pg/mL)","420","-1.14","-0.54","1.93","1.89","-0.04 (-0.11, 0.03)","0.26","1","1.99","1.96","-0.03 (-0.11, 0.05)","0.46","1"
"6","","Sum score of 13 cytokines Age 14 months","420","-1.14","-0.54","-0.36","-0.44","-0.08 (-0.22, 0.06)","0.26","1","0.07","-0.19","-0.25 (-0.54, 0.04)","0.09","0.91"
"7","","Ln AGP Age 28 months (g/L)","251","-1.19","-0.62","-0.13","-0.21","-0.07 (-0.24, 0.09)","0.4","1","-0.1","-0.13","-0.02 (-0.21, 0.16)","0.82","1"
"8","","Ln CRP Age 28 months (mg/L)","498","-1.14","-0.58","-0.1","-0.13","-0.04 (-0.2, 0.13)","0.67","1","-0.01","-0.08","-0.07 (-0.24, 0.09)","0.39","1"
"9","","Ln IFN-y Age 28 months (pg/mL)","489","-1.11","-0.6","1.58","1.6","0.02 (-0.04, 0.08)","0.47","1","1.72","1.74","0.03 (-0.03, 0.09)","0.38","1"
"10","","Sum score of 13 cytokines Age 28 months","489","-1.11","-0.6","-0.54","-0.55","-0.01 (-0.1, 0.08)","0.86","1","-0.16","-0.16","0 (-0.09, 0.09)","1","1"
"11","","","","","","","","","","","","","","",""
"12","Ln CRP (mg/L)","Ln AGP Age 14 months (g/L)","434","-0.13","1.41","-0.12","-0.1","0.02 (-0.04, 0.09)","0.52","1","-0.05","-0.01","0.04 (-0.05, 0.14)","0.39","1"
"13","","Ln CRP Age 14 months (mg/L)","374","-0.09","1.46","0.22","0.19","-0.03 (-0.24, 0.19)","0.82","1","-0.12","0.11","0.24 (-0.34, 0.81)","0.43","1"
"14","","Ln IFN-y Age 14 months (pg/mL)","420","-0.12","1.39","1.91","1.9","-0.01 (-0.08, 0.06)","0.72","1","1.98","1.99","0.01 (-0.06, 0.08)","0.8","1"
"15","","Sum score of 13 cytokines Age 14 months","420","-0.12","1.39","-0.41","-0.4","0.02 (-0.11, 0.14)","0.82","1","0.04","0.04","0 (-0.13, 0.14)","0.97","1"
"16","","Ln AGP Age 28 months (g/L)","251","-0.15","1.36","-0.13","-0.22","-0.09 (-0.18, 0)","0.05","0.87","-0.05","-0.13","-0.09 (-0.18, 0)","0.06","0.91"
"17","","Ln CRP Age 28 months (mg/L)","498","-0.08","1.42","-0.11","-0.12","-0.01 (-0.17, 0.15)","0.88","1","-0.05","-0.06","-0.01 (-0.16, 0.15)","0.91","1"
"18","","Ln IFN-y Age 28 months (pg/mL)","489","-0.13","1.41","1.62","1.59","-0.03 (-0.13, 0.08)","0.63","1","1.75","1.74","-0.01 (-0.11, 0.09)","0.81","1"
