"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Estriol (ng/mL)","Ln AGP Age 14 months (g/L)","430","0.72","1.71","-0.15","-0.12","0.03 (-0.04, 0.09)","0.4","0.64","-0.05","0","0.06 (-0.02, 0.13)","0.16","0.61"
"4","","Ln CRP Age 14 months (mg/L)","370","0.73","1.71","0.22","0.18","-0.04 (-0.21, 0.13)","0.66","0.75","-0.23","-0.14","0.09 (-0.12, 0.31)","0.4","0.8"
"5","","Ln IFN-y Age 14 months (pg/mL)","417","0.75","1.71","1.87","1.88","0.01 (-0.05, 0.07)","0.76","0.76","1.98","1.98","0 (-0.07, 0.07)","0.97","0.99"
"6","","Sum score of 13 cytokines Age 14 months","417","0.75","1.71","-0.41","-0.51","-0.1 (-0.42, 0.22)","0.55","0.74","0.1","0.05","-0.05 (-0.41, 0.3)","0.78","0.99"
"7","","Ln AGP Age 28 months (g/L)","251","0.7","1.71","-0.3","-0.15","0.15 (-0.09, 0.39)","0.21","0.64","-0.25","-0.09","0.16 (-0.1, 0.41)","0.23","0.61"
"8","","Ln CRP Age 28 months (mg/L)","493","0.81","1.74","-0.17","-0.11","0.06 (-0.07, 0.19)","0.37","0.64","-0.1","0.03","0.13 (-0.03, 0.28)","0.12","0.61"
"9","","Ln IFN-y Age 28 months (pg/mL)","484","0.78","1.74","1.53","1.58","0.05 (-0.05, 0.15)","0.31","0.64","1.71","1.71","0 (-0.08, 0.08)","0.99","0.99"
"10","","Sum score of 13 cytokines Age 28 months","484","0.78","1.74","-0.71","-0.57","0.14 (-0.04, 0.32)","0.12","0.64","-0.22","-0.17","0.05 (-0.1, 0.2)","0.54","0.86"
