"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln AGP (g/L)","Ln AGP Age 14 months (g/L)","421","-1.14","-0.54","-0.04","-0.03","0.01 (-0.07, 0.09)","0.81"
"4","","Ln CRP Age 14 months (mg/L)","367","-1.11","-0.53","-0.16","-0.22","-0.06 (-0.24, 0.12)","0.51"
"5","","Ln IFN-y Age 14 months (pg/mL)","408","-1.14","-0.54","1.99","1.96","-0.03 (-0.11, 0.05)","0.46"
"6","","Sum score of 13 cytokines Age 14 months","407","-1.14","-0.54","0.07","-0.19","-0.25 (-0.54, 0.04)","0.09"
"7","","Ln AGP Age 28 months (g/L)","250","-1.2","-0.62","-0.1","-0.13","-0.02 (-0.21, 0.16)","0.82"
"8","","Ln CRP Age 28 months (mg/L)","496","-1.14","-0.58","-0.01","-0.08","-0.07 (-0.24, 0.09)","0.39"
"9","","Ln IFN-y Age 28 months (pg/mL)","487","-1.11","-0.6","1.72","1.74","0.03 (-0.03, 0.09)","0.38"
"10","","Sum score of 13 cytokines Age 28 months","487","-1.11","-0.6","-0.16","-0.16","0 (-0.09, 0.09)","1"
"11","","","","","","","","",""
"12","Ln CRP (mg/L)","Ln AGP Age 14 months (g/L)","421","-0.14","1.41","-0.05","-0.01","0.04 (-0.05, 0.14)","0.39"
"13","","Ln CRP Age 14 months (mg/L)","367","-0.09","1.46","-0.12","0.11","0.24 (-0.34, 0.81)","0.43"
"14","","Ln IFN-y Age 14 months (pg/mL)","408","-0.13","1.38","1.98","1.99","0.01 (-0.06, 0.08)","0.8"
"15","","Sum score of 13 cytokines Age 14 months","407","-0.13","1.38","0.04","0.04","0 (-0.13, 0.14)","0.97"
"16","","Ln AGP Age 28 months (g/L)","250","-0.13","1.36","-0.05","-0.13","-0.09 (-0.18, 0)","0.06"
"17","","Ln CRP Age 28 months (mg/L)","496","-0.06","1.42","-0.05","-0.06","-0.01 (-0.16, 0.15)","0.91"
"18","","Ln IFN-y Age 28 months (pg/mL)","487","-0.12","1.41","1.75","1.74","-0.01 (-0.11, 0.09)","0.81"
"19","","Sum score of 13 cytokines Age 28 months","487","-0.12","1.41","-0.12","-0.22","-0.1 (-0.31, 0.12)","0.38"
"20","","","","","","","","",""
"21","Initial Ln IFN-y (pg/mL)","Ln AGP Age 14 months (g/L)","354","1.67","2.3","-0.05","-0.04","0.01 (-0.05, 0.06)","0.86"
"22","","Ln CRP Age 14 months (mg/L)","307","1.66","2.29","-0.01","-0.03","-0.01 (-0.2, 0.18)","0.91"
"23","","Ln IFN-y Age 14 months (pg/mL)","341","1.67","2.3","1.95","2.03","0.07 (0, 0.14)","0.04"
"24","","Sum score of 13 cytokines Age 14 months","340","1.67","2.3","0.16","0.17","0.01 (-0.21, 0.23)","0.93"
"25","","Ln AGP Age 28 months (g/L)","247","1.56","2.14","-0.15","-0.05","0.1 (-0.05, 0.25)","0.2"
"26","","Ln CRP Age 28 months (mg/L)","472","1.65","2.3","-0.06","-0.05","0 (-0.04, 0.04)","0.88"
"27","","Ln IFN-y Age 28 months (pg/mL)","460","1.64","2.3","1.81","1.81","-0.01 (-0.08, 0.06)","0.86"
"28","","Sum score of 13 cytokines Age 28 months","460","1.64","2.3","-0.11","-0.14","-0.04 (-0.14, 0.07)","0.53"
"29","","","","","","","","",""
"30","Sum score of 13 cytokines","Ln AGP Age 14 months (g/L)","354","-0.63","0.63","-0.04","-0.02","0.02 (-0.05, 0.09)","0.54"
"31","","Ln CRP Age 14 months (mg/L)","307","-0.66","0.61","-0.01","-0.04","-0.04 (-0.25, 0.18)","0.75"
"32","","Ln IFN-y Age 14 months (pg/mL)","341","-0.63","0.63","1.95","1.95","0 (-0.18, 0.17)","0.99"
"33","","Sum score of 13 cytokines Age 14 months","340","-0.63","0.63","-0.06","-0.09","-0.03 (-0.34, 0.27)","0.84"
"34","","Ln AGP Age 28 months (g/L)","247","-0.77","0.51","-0.11","-0.08","0.03 (-0.11, 0.17)","0.7"
"35","","Ln CRP Age 28 months (mg/L)","472","-0.64","0.65","-0.02","-0.11","-0.09 (-0.25, 0.07)","0.28"
"36","","Ln IFN-y Age 28 months (pg/mL)","460","-0.65","0.64","1.82","1.8","-0.02 (-0.1, 0.05)","0.55"
"37","","Sum score of 13 cytokines Age 28 months","460","-0.65","0.64","-0.08","-0.17","-0.09 (-0.22, 0.03)","0.15"
