"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln Estriol (ng/mL)","Ln AGP Age 14 months (g/L)","417","0.73","1.71","-0.05","0","0.06 (-0.02, 0.13)","0.16"
"4","","Ln CRP Age 14 months (mg/L)","363","0.73","1.71","-0.23","-0.14","0.09 (-0.12, 0.31)","0.4"
"5","","Ln IFN-y Age 14 months (pg/mL)","405","0.76","1.71","1.98","1.98","0 (-0.07, 0.07)","0.97"
"6","","Sum score of 13 cytokines Age 14 months","404","0.75","1.71","0.1","0.05","-0.05 (-0.41, 0.3)","0.78"
"7","","Ln AGP Age 28 months (g/L)","250","0.7","1.7","-0.25","-0.09","0.16 (-0.1, 0.41)","0.23"
"8","","Ln CRP Age 28 months (mg/L)","491","0.82","1.74","-0.1","0.03","0.13 (-0.03, 0.28)","0.12"
"9","","Ln IFN-y Age 28 months (pg/mL)","482","0.78","1.73","1.71","1.71","0 (-0.08, 0.08)","0.99"
"10","","Sum score of 13 cytokines Age 28 months","482","0.78","1.73","-0.22","-0.17","0.05 (-0.1, 0.2)","0.54"
