"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln Estriol (ng/mL)","Ln AGP Age 14 months (g/L)","254","0.78","1.71","-0.14","-0.05","0.09 (-0.01, 0.2)","0.09"
"4","","Ln CRP Age 14 months (mg/L)","229","0.79","1.71","-0.33","-0.35","-0.02 (-0.29, 0.25)","0.9"
"5","","Ln IFN-y Age 14 months (pg/mL)","250","0.79","1.72","1.6","1.62","0.02 (-0.08, 0.12)","0.7"
"6","","Sum score of 13 cytokines Age 14 months","250","0.79","1.72","-0.31","-0.21","0.1 (-0.34, 0.54)","0.66"
"7","","Ln AGP Age 28 months (g/L)","164","0.45","1.7","-0.31","-0.33","-0.02 (-0.15, 0.11)","0.73"
"8","","Ln CRP Age 28 months (mg/L)","343","0.9","1.78","-0.35","-0.23","0.13 (-0.04, 0.3)","0.13"
"9","","Ln IFN-y Age 28 months (pg/mL)","334","0.86","1.77","1.65","1.65","0 (-0.09, 0.09)","1"
"10","","Sum score of 13 cytokines Age 28 months","334","0.86","1.77","-0.48","-0.5","-0.02 (-0.16, 0.12)","0.79"
