"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Vitamin D (nmol/L)","Ln AGP Age 14 months (g/L)","257","32.1","52.54","-0.09","-0.02","0.06 (0, 0.13)","0.06"
"4","","Ln CRP Age 14 months (mg/L)","232","32.04","52.62","-0.24","-0.04","0.2 (-0.11, 0.5)","0.2"
"5","","Ln IFN-y Age 14 months (pg/mL)","252","31.66","51.71","1.65","1.55","-0.1 (-0.27, 0.06)","0.22"
"6","","Sum score of 13 cytokines Age 14 months","252","31.66","51.71","-0.3","-0.51","-0.21 (-0.48, 0.07)","0.14"
"7","","Ln AGP Age 28 months (g/L)","164","32.57","56.33","-0.33","-0.42","-0.08 (-0.29, 0.12)","0.43"
"8","","Ln CRP Age 28 months (mg/L)","346","32.61","55.8","-0.15","-0.22","-0.06 (-0.47, 0.34)","0.77"
"9","","Ln IFN-y Age 28 months (pg/mL)","337","32.58","55.76","1.67","1.66","-0.01 (-0.11, 0.08)","0.84"
"10","","Sum score of 13 cytokines Age 28 months","337","32.58","55.76","-0.49","-0.5","-0.02 (-0.17, 0.13)","0.84"
"11","","","","","","","","",""
"12","Vitamin D deficiency","Ln AGP Age 14 months (g/L)","257","0","1","-0.03","-0.14","-0.12 (-0.25, 0.02)","0.09"
"13","","Ln CRP Age 14 months (mg/L)","232","0","1","-0.14","-0.42","-0.28 (-0.74, 0.18)","0.23"
"14","","Ln IFN-y Age 14 months (pg/mL)","252","0","1","1.64","1.54","-0.1 (-0.27, 0.06)","0.22"
"15","","Sum score of 13 cytokines Age 14 months","252","0","1","-0.31","-0.4","-0.09 (-0.39, 0.21)","0.57"
"16","","Ln AGP Age 28 months (g/L)","164","0","1","-0.29","-0.36","-0.07 (-0.25, 0.11)","0.45"
"17","","Ln CRP Age 28 months (mg/L)","346","0","1","-0.27","-0.51","-0.25 (-0.58, 0.09)","0.15"
"18","","Ln IFN-y Age 28 months (pg/mL)","337","0","1","1.66","1.7","0.04 (-0.14, 0.22)","0.69"
"19","","Sum score of 13 cytokines Age 28 months","337","0","1","-0.5","-0.44","0.07 (-0.2, 0.34)","0.62"
"20","","","","","","","","",""
"21","Ln RBP (umol/L)","Ln AGP Age 14 months (g/L)","257","0.14","0.53","-0.07","-0.08","-0.01 (-0.08, 0.05)","0.7"
"22","","Ln CRP Age 14 months (mg/L)","232","0.14","0.55","0.17","-0.02","-0.19 (-0.76, 0.37)","0.51"
"23","","Ln IFN-y Age 14 months (pg/mL)","252","0.14","0.54","1.71","1.43","-0.28 (-0.51, -0.05)","0.02"
"24","","Sum score of 13 cytokines Age 14 months","252","0.14","0.54","-0.28","-0.85","-0.57 (-0.98, -0.17)","0.01*"
"25","","Ln AGP Age 28 months (g/L)","164","0.13","0.49","-0.31","-0.31","0 (-0.07, 0.08)","0.99"
"26","","Ln CRP Age 28 months (mg/L)","346","0.13","0.52","-0.42","-0.42","0 (0, 0)","0.63"
"27","","Ln IFN-y Age 28 months (pg/mL)","337","0.13","0.51","1.58","1.66","0.09 (0.01, 0.17)","0.03"
"28","","Sum score of 13 cytokines Age 28 months","337","0.13","0.51","-0.61","-0.49","0.12 (0.01, 0.24)","0.04"
"29","","","","","","","","",""
"30","Vitamin A deficiency","Ln AGP Age 14 months (g/L)","257","0","1","-0.08","-0.14","-0.07 (-0.56, 0.43)","0.81"
"31","","Ln CRP Age 14 months (mg/L)","232","0","1","-0.22","0.27","0.49 (-1.15, 2.14)","0.57"
"32","","Ln IFN-y Age 14 months (pg/mL)","252","0","1","1.62","1.76","0.13 (-0.5, 0.76)","0.69"
"33","","Sum score of 13 cytokines Age 14 months","252","0","1","-0.34","0.01","0.34 (-0.77, 1.45)","0.56"
"34","","Ln AGP Age 28 months (g/L)","164","0","1","-0.31","-0.36","-0.05 (-0.47, 0.36)","0.82"
"35","","Ln CRP Age 28 months (mg/L)","346","0","1","-0.32","-0.69","-0.37 (-1.25, 0.51)","0.41"
"36","","Ln IFN-y Age 28 months (pg/mL)","337","0","1","1.66","1.21","-0.45 (-0.9, 0)","0.05"
"37","","Sum score of 13 cytokines Age 28 months","337","0","1","-0.49","-0.86","-0.38 (-1.05, 0.3)","0.28"
"38","","","","","","","","",""
"39","Ln ferritin (ug/L)","Ln AGP Age 14 months (g/L)","257","2.59","3.97","-0.05","-0.15","-0.1 (-0.19, -0.01)","0.03"
"40","","Ln CRP Age 14 months (mg/L)","232","2.52","4.01","-0.15","-0.09","0.06 (-0.45, 0.57)","0.84"
"41","","Ln IFN-y Age 14 months (pg/mL)","252","2.58","4","1.68","1.58","-0.1 (-0.22, 0.02)","0.09"
"42","","Sum score of 13 cytokines Age 14 months","252","2.58","4","-0.18","-0.33","-0.15 (-0.36, 0.06)","0.17"
"43","","Ln AGP Age 28 months (g/L)","164","2.56","3.74","-0.31","-0.3","0.01 (-0.11, 0.13)","0.91"
"44","","Ln CRP Age 28 months (mg/L)","346","2.59","3.89","-0.35","-0.31","0.03 (-0.15, 0.21)","0.73"
"45","","Ln IFN-y Age 28 months (pg/mL)","337","2.61","3.91","1.61","1.72","0.11 (0, 0.23)","0.05"
"46","","Sum score of 13 cytokines Age 28 months","337","2.61","3.91","-0.51","-0.4","0.12 (-0.05, 0.29)","0.18"
"47","","","","","","","","",""
"48","Ln sTfR (mg/L)","Ln AGP Age 14 months (g/L)","257","1.27","1.68","-0.09","-0.12","-0.03 (-0.18, 0.11)","0.69"
"49","","Ln CRP Age 14 months (mg/L)","232","1.3","1.7","-0.21","-0.28","-0.08 (-0.31, 0.16)","0.54"
"50","","Ln IFN-y Age 14 months (pg/mL)","252","1.27","1.69","1.64","1.57","-0.07 (-0.27, 0.14)","0.52"
"51","","Sum score of 13 cytokines Age 14 months","252","1.27","1.69","-0.21","-0.27","-0.06 (-0.43, 0.3)","0.74"
"52","","Ln AGP Age 28 months (g/L)","164","1.27","1.66","-0.31","-0.31","0 (-0.07, 0.08)","0.95"
"53","","Ln CRP Age 28 months (mg/L)","346","1.28","1.7","-0.35","-0.36","-0.01 (-0.02, 0)","0.08"
"54","","Ln IFN-y Age 28 months (pg/mL)","337","1.28","1.69","1.68","1.66","-0.03 (-0.11, 0.06)","0.55"
"55","","Sum score of 13 cytokines Age 28 months","337","1.28","1.69","-0.48","-0.48","0 (-0.13, 0.12)","0.97"
"56","","","","","","","","",""
"57","Iron deficiency","Ln AGP Age 14 months (g/L)","257","0","1","-0.06","0.15","0.21 (0.09, 0.33)","0*"
"58","","Ln CRP Age 14 months (mg/L)","232","0","1","-0.23","0.05","0.28 (-0.15, 0.72)","0.2"
"59","","Ln IFN-y Age 14 months (pg/mL)","252","0","1","1.61","1.65","0.04 (-0.12, 0.2)","0.65"
"60","","Sum score of 13 cytokines Age 14 months","252","0","1","-0.33","-0.26","0.07 (-0.22, 0.36)","0.65"
"61","","Ln AGP Age 28 months (g/L)","164","0","1","-0.35","-0.26","0.09 (-0.09, 0.27)","0.34"
"62","","Ln CRP Age 28 months (mg/L)","346","0","1","-0.32","-0.34","-0.02 (-0.34, 0.3)","0.9"
"63","","Ln IFN-y Age 28 months (pg/mL)","337","0","1","1.69","1.57","-0.12 (-0.29, 0.05)","0.16"
"64","","Sum score of 13 cytokines Age 28 months","337","0","1","-0.45","-0.64","-0.2 (-0.45, 0.05)","0.12"
